X1,X2,X3,X4
13.7,11.1,11.7,10.3
16.5,11.8,12.4,10.9
16.2,11.6,16.8,10.7
12.5,11.9,17.6,10.8
12.7,11.5,13.8,11.7
15.5,12.8,13.5,11.6
16.9,12.7,16.4,12.3
12.8,14.4,12.2,10.8
12.7,12.9,14.2,13.6
12.5,11,16.8,12.8
14.7,12.9,17.4,12.9
11.8,12,17.3,11.9
11.9,12.7,12.3,12.2
14.1,12.5,11.7,13.4
14.7,13.3,12.9,13.3
19.8,11.5,12.7,12.7
15.6,12.9,11.2,12.6
14.8,12.4,13.4,13.7
13.4,12.7,16.4,11.9
13.8,11.3,12.2,11.5
12.7,12.7,14.2,12.5
15.5,10.3,16.9,12.8
14.4,11.4,17.9,11.9
13.1,11.1,11.7,10.3
